ID	TIPO	CHEGADA	TEMPO_ESPERA	TEMPO_SERVICO	SAIDA	PASSO	SERVIDOR
206	REGULAR	0,23170	1,13375	0,01038	1,37583	AppServerRequest	AppServerRequest1
206	REGULAR	1,37583	118,03396	0,01408	119,42387	AppServerResponse	AppServerResponse1
207	REGULAR	0,23178	1,14405	0,00851	1,38434	AppServerRequest	AppServerRequest1
207	REGULAR	1,38434	119,18358	0,01494	120,58286	AppServerResponse	AppServerResponse1
208	COMPLEXA	0,23692	1,14742	0,00007	1,38441	AppServerRequest	AppServerRequest1
208	COMPLEXA	1,38441	120,34588	0,00075	121,73103	AppServerResponse	AppServerResponse1
209	REGULAR	0,23745	1,14695	0,00334	1,38774	AppServerRequest	AppServerRequest1
209	REGULAR	1,38774	121,49024	0,00357	122,88155	AppServerResponse	AppServerResponse1
210	SIMPLES	0,23766	1,15008	0,00092	1,38867	AppServerRequest	AppServerRequest1
210	SIMPLES	1,38867	122,64297	0,00147	124,03311	AppServerResponse	AppServerResponse1
211	SIMPLES	0,23800	1,15067	0,00069	1,38936	AppServerRequest	AppServerRequest1
211	SIMPLES	1,38936	123,79442	0,00240	125,18617	AppServerResponse	AppServerResponse1
212	SIMPLES	0,24074	1,14862	0,00115	1,39051	AppServerRequest	AppServerRequest1
212	SIMPLES	1,39051	124,94429	0,00355	126,33835	AppServerResponse	AppServerResponse1
213	COMPLEXA	0,24116	1,14935	0,00569	1,39620	AppServerRequest	AppServerRequest1
213	COMPLEXA	1,39620	126,09150	0,00795	127,49565	AppServerResponse	AppServerResponse1
214	SIMPLES	0,24215	1,15405	0,00497	1,40116	AppServerRequest	AppServerRequest1
214	SIMPLES	1,40116	127,24853	0,00522	128,65492	AppServerResponse	AppServerResponse1
215	COMPLEXA	0,24425	1,15692	0,00167	1,40283	AppServerRequest	AppServerRequest1
215	COMPLEXA	1,40283	128,40900	0,00698	129,81881	AppServerResponse	AppServerResponse1
216	REGULAR	0,24611	1,15673	0,02455	1,42739	AppServerRequest	AppServerRequest1
216	REGULAR	1,42739	129,54815	0,02505	131,00059	AppServerResponse	AppServerResponse1
217	SIMPLES	0,24725	1,18014	0,00037	1,42776	AppServerRequest	AppServerRequest1
217	SIMPLES	1,42776	130,75297	0,00602	132,18674	AppServerResponse	AppServerResponse1
218	SIMPLES	0,24821	1,17954	0,00330	1,43106	AppServerRequest	AppServerRequest1
218	SIMPLES	1,43106	131,93523	0,00474	133,37103	AppServerResponse	AppServerResponse1
219	REGULAR	0,24950	1,18156	0,01733	1,44839	AppServerRequest	AppServerRequest1
219	REGULAR	1,44839	133,10419	0,01912	134,57171	AppServerResponse	AppServerResponse1
220	COMPLEXA	0,24965	1,19874	0,00422	1,45261	AppServerRequest	AppServerRequest1
220	COMPLEXA	1,45261	134,31784	0,00532	135,77576	AppServerResponse	AppServerResponse1
221	SIMPLES	0,25013	1,20248	0,00273	1,45534	AppServerRequest	AppServerRequest1
221	SIMPLES	1,45534	135,52291	0,00413	136,98238	AppServerResponse	AppServerResponse1
222	REGULAR	0,25109	1,20425	0,00308	1,45842	AppServerRequest	AppServerRequest1
222	REGULAR	1,45842	136,72821	0,00572	138,19235	AppServerResponse	AppServerResponse1
223	SIMPLES	0,25116	1,20726	0,00516	1,46358	AppServerRequest	AppServerRequest1
223	SIMPLES	1,46358	137,93603	0,00603	139,40564	AppServerResponse	AppServerResponse1
224	REGULAR	0,25513	1,20846	0,00128	1,46487	AppServerRequest	AppServerRequest1
224	REGULAR	1,46487	139,14923	0,00517	140,61927	AppServerResponse	AppServerResponse1
225	REGULAR	0,25552	1,20934	0,01314	1,47800	AppServerRequest	AppServerRequest1
225	REGULAR	1,47800	140,35061	0,01608	141,84469	AppServerResponse	AppServerResponse1
226	REGULAR	0,25615	1,22185	0,00010	1,47810	AppServerRequest	AppServerRequest1
226	REGULAR	1,47810	141,58844	0,01157	143,07811	AppServerResponse	AppServerResponse1
227	REGULAR	0,25672	1,22138	0,00863	1,48673	AppServerRequest	AppServerRequest1
227	REGULAR	1,48673	142,81276	0,01767	144,31716	AppServerResponse	AppServerResponse1
228	SIMPLES	0,25680	1,22993	0,00205	1,48878	AppServerRequest	AppServerRequest1
228	SIMPLES	1,48878	144,05831	0,00332	145,55041	AppServerResponse	AppServerResponse1
229	REGULAR	0,25738	1,23141	0,00042	1,48920	AppServerRequest	AppServerRequest1
229	REGULAR	1,48920	145,29262	0,00833	146,79015	AppServerResponse	AppServerResponse1
230	REGULAR	0,25781	1,23139	0,01050	1,49970	AppServerRequest	AppServerRequest1
230	REGULAR	1,49970	146,52185	0,04342	148,06496	AppServerResponse	AppServerResponse1
231	SIMPLES	0,25881	1,24089	0,00525	1,50495	AppServerRequest	AppServerRequest1
231	SIMPLES	1,50495	147,80090	0,01076	149,31661	AppServerResponse	AppServerResponse1
232	REGULAR	0,25984	1,24511	0,03590	1,54085	AppServerRequest	AppServerRequest1
232	REGULAR	1,54085	149,02086	0,03781	150,59952	AppServerResponse	AppServerResponse1
233	REGULAR	0,26099	1,27986	0,01046	1,55131	AppServerRequest	AppServerRequest1
233	REGULAR	1,55131	150,32807	0,01210	151,89148	AppServerResponse	AppServerResponse1
234	REGULAR	0,26305	1,28826	0,02814	1,57945	AppServerRequest	AppServerRequest1
234	REGULAR	1,57945	151,60029	0,05595	153,23569	AppServerResponse	AppServerResponse1
235	REGULAR	0,26350	1,31595	0,02183	1,60128	AppServerRequest	AppServerRequest1
235	REGULAR	1,60128	152,95036	0,02755	154,57919	AppServerResponse	AppServerResponse1
236	REGULAR	0,26468	1,33661	0,00568	1,60697	AppServerRequest	AppServerRequest1
236	REGULAR	1,60697	154,30883	0,00725	155,92305	AppServerResponse	AppServerResponse1
